id,text,parent,isLeaf,aggrlevel
"TOTAL","Total of all BEC5 categories","#","0","0",
"1","1 - Agriculture, forestry, fishing, food, beverages, tobacco ","TOTAL","0","1",
"2","2 - Mining, quarrying, refinery, fuels, chemicals, electricity, water, waste treatment ","TOTAL","0","1",
"3","3 - Construction, wood, glass, stone, basic metals, housing, electrical appliances, furniture  ","TOTAL","0","1",
"4","4 - Textile, apparel, shoes ","TOTAL","0","1",
"5","5 - Transport equipment and services, travel, postal services","TOTAL","0","1",
"6","6 - ICT, media, computers, business and financial services","TOTAL","0","1",
"7","7 - Health, pharmaceuticals, education, cultural, sport","TOTAL","0","1",
"8","8 - Government, military and other","TOTAL","0","1",
"9","9 - Not-elsewhere-specified (NES)","TOTAL","1","1",
"11","11 - Agriculture, forestry, fishing, food, beverages, tobacco |Goods","1","0","2",
"12","12 - Agriculture, forestry, fishing, food, beverages, tobacco |Services","1","0","2",
"21","21 - Mining, quarrying, refinery, fuels, chemicals, electricity, water, waste treatment |Goods","2","0","2",
"22","22 - Mining, quarrying, refinery, fuels, chemicals, electricity, water, waste treatment |Services","2","0","2",
"31","31 - Construction, wood, glass, stone, basic metals, housing, electrical appliances, furniture  |Goods","3","0","2",
"32","32 - Construction, wood, glass, stone, basic metals, housing, electrical appliances, furniture  |Services","3","0","2",
"41","41 - Textile, apparel, shoes |Goods","4","0","2",
"42","42 - Textile, apparel, shoes |Services","4","0","2",
"51","51 - Transport equipment and services, travel, postal services|Goods","5","0","2",
"52","52 - Transport equipment and services, travel, postal services|Services","5","0","2",
"61","61 - ICT, media, computers, business and financial services|Goods","6","0","2",
"62","62 - ICT, media, computers, business and financial services|Services","6","0","2",
"71","71 - Health, pharmaceuticals, education, cultural, sport|Goods","7","0","2",
"72","72 - Health, pharmaceuticals, education, cultural, sport|Services","7","0","2",
"81","81 - Government, military and other|Goods","8","0","2",
"82","82 - Government, military and other|Services","8","0","2",
"111","111 - Agriculture, forestry, fishing, food, beverages, tobacco |Goods|Intermediate Consumption","11","0","3",
"112","112 - Agriculture, forestry, fishing, food, beverages, tobacco |Goods|Gross Fixed Capital Formation","11","0","3",
"113","113 - Agriculture, forestry, fishing, food, beverages, tobacco |Goods|Final Consumption","11","0","3",
"121","121 - Agriculture, forestry, fishing, food, beverages, tobacco |Services|Intermediate Consumption","12","0","3",
"123","123 - Agriculture, forestry, fishing, food, beverages, tobacco |Services|Final Consumption","12","1","3",
"211","211 - Mining, quarrying, refinery, fuels, chemicals, electricity, water, waste treatment |Goods|Intermediate Consumption","21","0","3",
"212","212 - Mining, quarrying, refinery, fuels, chemicals, electricity, water, waste treatment |Goods|Gross Fixed Capital Formation","21","0","3",
"213","213 - Mining, quarrying, refinery, fuels, chemicals, electricity, water, waste treatment |Goods|Final Consumption","21","0","3",
"221","221 - Mining, quarrying, refinery, fuels, chemicals, electricity, water, waste treatment |Services|Intermediate Consumption","22","0","3",
"223","223 - Mining, quarrying, refinery, fuels, chemicals, electricity, water, waste treatment |Services|Final Consumption","22","1","3",
"311","311 - Construction, wood, glass, stone, basic metals, housing, electrical appliances, furniture  |Goods|Intermediate Consumption","31","0","3",
"312","312 - Construction, wood, glass, stone, basic metals, housing, electrical appliances, furniture  |Goods|Gross Fixed Capital Formation","31","0","3",
"313","313 - Construction, wood, glass, stone, basic metals, housing, electrical appliances, furniture  |Goods|Final Consumption","31","0","3",
"321","321 - Construction, wood, glass, stone, basic metals, housing, electrical appliances, furniture  |Services|Intermediate Consumption","32","0","3",
"323","323 - Construction, wood, glass, stone, basic metals, housing, electrical appliances, furniture  |Services|Final Consumption","32","1","3",
"411","411 - Textile, apparel, shoes |Goods|Intermediate Consumption","41","0","3",
"412","412 - Textile, apparel, shoes |Goods|Gross Fixed Capital Formation","41","0","3",
"413","413 - Textile, apparel, shoes |Goods|Final Consumption","41","0","3",
"421","421 - Textile, apparel, shoes |Services|Intermediate Consumption","42","0","3",
"423","423 - Textile, apparel, shoes |Services|Final Consumption","42","1","3",
"511","511 - Transport equipment and services, travel, postal services|Goods|Intermediate Consumption","51","0","3",
"512","512 - Transport equipment and services, travel, postal services|Goods|Gross Fixed Capital Formation","51","0","3",
"513","513 - Transport equipment and services, travel, postal services|Goods|Final Consumption","51","0","3",
"521","521 - Transport equipment and services, travel, postal services|Services|Intermediate Consumption","52","0","3",
"523","523 - Transport equipment and services, travel, postal services|Services|Final Consumption","52","1","3",
"611","611 - ICT, media, computers, business and financial services|Goods|Intermediate Consumption","61","0","3",
"612","612 - ICT, media, computers, business and financial services|Goods|Gross Fixed Capital Formation","61","0","3",
"613","613 - ICT, media, computers, business and financial services|Goods|Final Consumption","61","0","3",
"621","621 - ICT, media, computers, business and financial services|Services|Intermediate Consumption","62","0","3",
"623","623 - ICT, media, computers, business and financial services|Services|Final Consumption","62","1","3",
