cmdCode,descriptionOriginal,id,text,parent,isLeaf,aggrlevel
"0171","Extracts and juices of meat, fish or crustaceans, molluscs or other aquatic invertebrates","0171","0171 - Extracts and juices of meat, fish or crustaceans, molluscs or other aquatic invertebrates","017","1","4",
"0172","Sausages and similar products, of meat, meat offal or blood; food preparations based on these products","0172","0172 - Sausages and similar products, of meat, meat offal or blood; food preparations based on these products","017","1","4",
"0173","Liver of any animal, prepared or preserved, n.e.s.","0173","0173 - Liver of any animal, prepared or preserved, n.e.s.","017","1","4",
"0174","Meat and offal (other than liver) of poultry of subgroup 001.4, prepared or preserved, n.e.s.","0174","0174 - Meat and offal (other than liver) of poultry of subgroup 001.4, prepared or preserved, n.e.s.","017","1","4",
"0175","Meat and offal (other than liver), of swine, prepared or preserved, n.e.s.","0175","0175 - Meat and offal (other than liver), of swine, prepared or preserved, n.e.s.","017","1","4",
"0176","Meat and offal (other than liver), of bovine animals, prepared or preserved, n.e.s.","0176","0176 - Meat and offal (other than liver), of bovine animals, prepared or preserved, n.e.s.","017","1","4",
"0179","Other prepared or preserved meat or meat offal (including preparations of blood of any animal)","0179","0179 - Other prepared or preserved meat or meat offal (including preparations of blood of any animal)","017","1","4",
"017X","Memorandum Item","017X","017X - Memorandum Item","017","0","4",
"017XX","Memorandum Item","017XX","017XX - Memorandum Item","017X","1","5",
"01X","Memorandum Item","01X","01X - Memorandum Item","01","0","3",
"01XX","Memorandum Item","01XX","01XX - Memorandum Item","01X","0","4",
"01XXX","Memorandum Item","01XXX","01XXX - Memorandum Item","01XX","1","5",
"02","Dairy products and eggs","02","02 - Dairy products and eggs","0","0","2",
"022","Milk and cream","022","022 - Milk and cream","02","0","3",
"0221","Milk & cream evaporated or condensed","0221","0221 - Milk & cream evaporated or condensed","022","1","4",
"02211","Milk of a fat content, by weight, not exceeding 1%","02211","02211 - Milk of a fat content, by weight, not exceeding 1%","0221","1","5",
"02212","Milk and cream, of a fat content, by weight, exceeding 1% but not exceeding 6%","02212","02212 - Milk and cream, of a fat content, by weight, exceeding 1% but not exceeding 6%","0221","1","5",
"02213","Cream of a fat content, by weight, exceeding 6%","02213","02213 - Cream of a fat content, by weight, exceeding 6%","0221","1","5",
"0221X","Memorandum Item","0221X","0221X - Memorandum Item","0221","1","5",
"0222","Milk & cream in solid form,blocks or powder","0222","0222 - Milk & cream in solid form,blocks or powder","022","0","4",
"02221","Whole milk and cream","02221","02221 - Whole milk and cream","0222","1","5",
"02222","Skimmed milk","02222","02222 - Skimmed milk","0222","1","5",
"02223","Milk and cream, not in solid form, not containing added sugar or other sweetening matter","02223","02223 - Milk and cream, not in solid form, not containing added sugar or other sweetening matter","0222","1","5",
"02224","Milk and cream, not in solid form, containing added sugar or other sweetening matter","02224","02224 - Milk and cream, not in solid form, containing added sugar or other sweetening matter","0222","1","5",
"0222X","Memorandum Item","0222X","0222X - Memorandum Item","0222","1","5",
"0223","Milk & cream fresh","0223","0223 - Milk & cream fresh","022","1","4",
"02231","Yogurt, whether or not concentrated or containing added sugar or other sweetening matter or flavoured or containing added fruit, nuts or cocoa","02231","02231 - Yogurt, whether or not concentrated or containing added sugar or other sweetening matter or flavoured or containing added fruit, nuts or cocoa","0223","1","5",
"02232","Buttermilk, curdled milk and cream, kephir and other fermented or acidified milk or cream, whether or not concentrated or containing added sugar or other sweetening matter or flavoured or containing added fruit, nuts or cocoa","02232","02232 - Buttermilk, curdled milk and cream, kephir and other fermented or acidified milk or cream, whether or not concentrated or containing added sugar or other sweetening matter or flavoured or containing added fruit, nuts or cocoa","0223","1","5",
"02233","Ice-cream and other edible ice, whether or not containing cocoa","02233","02233 - Ice-cream and other edible ice, whether or not containing cocoa","0223","1","5",
"0223X","Memorandum Item","0223X","0223X - Memorandum Item","0223","1","5",
"0224","Milk and cream, preserved, concentrated or sweetened","0224","0224 - Milk and cream, preserved, concentrated or sweetened","022","0","4",
"02241","Whey","02241","02241 - Whey","0224","1","5",
"02242","Milk (other than whey) in powder or granules, containing not more than 1.5% by weight of fat","02242","02242 - Milk (other than whey) in powder or granules, containing not more than 1.5% by weight of fat","0224","1","5",
"02243","Milk (other than whey) and cream, in powder or granules containing more than 1.5% by weight of fat","02243","02243 - Milk (other than whey) and cream, in powder or granules containing more than 1.5% by weight of fat","0224","1","5",
"02249","Milk (other than whey) and cream, preserved, cencentrated or sweeted, in forms other than powder or granules","02249","02249 - Milk (other than whey) and cream, preserved, cencentrated or sweeted, in forms other than powder or granules","0224","1","5",
"0224X","Memorandum Item","0224X","0224X - Memorandum Item","0224","1","5",
"022X","Memorandum Item","022X","022X - Memorandum Item","022","0","4",
"022XX","Memorandum Item","022XX","022XX - Memorandum Item","022X","1","5",
"023","Butter","023","023 - Butter","02","0","3",
"0230","Butter","0230","0230 - Butter","023","1","4",
"023X","Memorandum Item","023X","023X - Memorandum Item","023","0","4",
"023XX","Memorandum Item","023XX","023XX - Memorandum Item","023X","1","5",
"024","Cheese and curd","024","024 - Cheese and curd","02","0","3",
"0240","Cheese and curd","0240","0240 - Cheese and curd","024","1","4",
"0241","Grated or powdered cheese, of all kinds","0241","0241 - Grated or powdered cheese, of all kinds","024","1","4",
"0242","Processed cheese, not grated or powdered","0242","0242 - Processed cheese, not grated or powdered","024","1","4",
"0243","Blue-veined cheese","0243","0243 - Blue-veined cheese","024","1","4",
"0249","Other cheese; curd","0249","0249 - Other cheese; curd","024","0","4",
"02491","Fresh (unripened or uncured) cheese, including whey cheese, and curd","02491","02491 - Fresh (unripened or uncured) cheese, including whey cheese, and curd","0249","1","5",
"02499","Other cheese","02499","02499 - Other cheese","0249","1","5",
"0249X","Memorandum Item","0249X","0249X - Memorandum Item","0249","1","5",
"024X","Memorandum Item","024X","024X - Memorandum Item","024","0","4",
"024XX","Memorandum Item","024XX","024XX - Memorandum Item","024X","1","5",
"025","Eggs","025","025 - Eggs","02","0","3",
"0250","Eggs","0250","0250 - Eggs","025","0","4",
"02501","Eggs in the shell","02501","02501 - Eggs in the shell","0250","1","5",
"02502","Eggs not in the shell","02502","02502 - Eggs not in the shell","0250","1","5",
"0250X","Memorandum Item","0250X","0250X - Memorandum Item","0250","1","5",
"0251","....in shell","0251","0251 - ....in shell","025","1","4",
"0252","....not in shell","0252","0252 - ....not in shell","025","1","4",
"02521","....dried","02521","02521 - ....dried","0252","1","5",
"02522","....other than dried","02522","02522 - ....other than dried","0252","1","5",
"0252X","Memorandum Item","0252X","0252X - Memorandum Item","0252","1","5",
"0253","Egg albumin","0253","0253 - Egg albumin","025","1","4",
"025X","Memorandum Item","025X","025X - Memorandum Item","025","0","4",
"025XX","Memorandum Item","025XX","025XX - Memorandum Item","025X","1","5",
"02X","Memorandum Item","02X","02X - Memorandum Item","02","0","3",
"02XX","Memorandum Item","02XX","02XX - Memorandum Item","02X","0","4",
"02XXX","Memorandum Item","02XXX","02XXX - Memorandum Item","02XX","1","5",
"03","Fish and fish preparations","03","03 - Fish and fish preparations","0","0","2",
"031","Fish,fresh & simply preserved","031","031 - Fish,fresh & simply preserved","03","0","3",
"0311","Fish, fresh, chilled or frozen","0311","0311 - Fish, fresh, chilled or frozen","031","0","4",
"03111","Herring,fresh or chilled","03111","03111 - Herring,fresh or chilled","0311","1","5",
"03112","Fish fillets,fresh or chilled","03112","03112 - Fish fillets,fresh or chilled","0311","1","5",
"03113","Other fish,fresh or chilled","03113","03113 - Other fish,fresh or chilled","0311","1","5",
"03114","Herring,frozen","03114","03114 - Herring,frozen","0311","1","5",
"03115","Fish fillets,frozen","03115","03115 - Fish fillets,frozen","0311","1","5",
"03116","Other fish,frozen","03116","03116 - Other fish,frozen","0311","1","5",
"0311X","Memorandum Item","0311X","0311X - Memorandum Item","0311","1","5",
"0312","Fish, salted, dried or smoked","0312","0312 - Fish, salted, dried or smoked","031","0","4",
"03121","Stock fish,dried unsalted","03121","03121 - Stock fish,dried unsalted","0312","1","5",
"03122","Cod,hake,haddock etc,salted","03122","03122 - Cod,hake,haddock etc,salted","0312","1","5",
"03123","Herring,dried or salted","03123","03123 - Herring,dried or salted","0312","1","5",
"03124","Sardines,anchovies,etc.dried/salted","03124","03124 - Sardines,anchovies,etc.dried/salted","0312","1","5",
"03125","Other fish,dried or salted","03125","03125 - Other fish,dried or salted","0312","1","5",
"03126","Herring,smoked or smoked frozen","03126","03126 - Herring,smoked or smoked frozen","0312","1","5",
"03127","Other fish,smoked or smoked frozen","03127","03127 - Other fish,smoked or smoked frozen","0312","1","5",
"0312X","Memorandum Item","0312X","0312X - Memorandum Item","0312","1","5",
"0313","Crustacea & molluscs,fresh,chilled,salted,dried","0313","0313 - Crustacea & molluscs,fresh,chilled,salted,dried","031","1","4",
"031X","Memorandum Item","031X","031X - Memorandum Item","031","0","4",
"031XX","Memorandum Item","031XX","031XX - Memorandum Item","031X","1","5",
"032","Fish,in airtight containers,nes & fish preptns.","032","032 - Fish,in airtight containers,nes & fish preptns.","03","0","3",
"0320","Fish,in airtight containers","0320","0320 - Fish,in airtight containers","032","0","4",
"03201","Prepared or preserved fish incl.caviar","03201","03201 - Prepared or preserved fish incl.caviar","0320","1","5",
"03202","Crustacea & molluscs,prepared or preserved","03202","03202 - Crustacea & molluscs,prepared or preserved","0320","1","5",
"0320X","Memorandum Item","0320X","0320X - Memorandum Item","0320","1","5",
"032X","Memorandum Item","032X","032X - Memorandum Item","032","0","4",
"032XX","Memorandum Item","032XX","032XX - Memorandum Item","032X","1","5",
"034","Fish, fresh (live or dead), chilled or frozen","034","034 - Fish, fresh (live or dead), chilled or frozen","03","0","3",
"0341","Fish, fresh (live or dead) or chilled (excluding fillets)","0341","0341 - Fish, fresh (live or dead) or chilled (excluding fillets)","034","1","4",
"03411","Fish, live","03411","03411 - Fish, live","0341","1","5",
"03412","Salmonidae, fresh or chilled (excluding livers and roes)","03412","03412 - Salmonidae, fresh or chilled (excluding livers and roes)","0341","1","5",
"03413","Flat-fish, fresh or chilled (excluding livers and roes)","03413","03413 - Flat-fish, fresh or chilled (excluding livers and roes)","0341","1","5",
"03414","Tunas, skipjack or stripe-bellied bonito, fresh or chilled (excluding livers and roes)","03414","03414 - Tunas, skipjack or stripe-bellied bonito, fresh or chilled (excluding livers and roes)","0341","1","5",
"03415","Herrings, sardines, sardinella, brislings or sprats, fresh or chilled (excluding livers and roes)","03415","03415 - Herrings, sardines, sardinella, brislings or sprats, fresh or chilled (excluding livers and roes)","0341","1","5",
"03416","Cod, fresh or chilled (excluding livers and roes)","03416","03416 - Cod, fresh or chilled (excluding livers and roes)","0341","1","5",
"03417","Mackerel (scombrids), fresh or chilled (excluding livers and roes)","03417","03417 - Mackerel (scombrids), fresh or chilled (excluding livers and roes)","0341","1","5",
"03418","Other fish, fresh or chilled (excluding livers and roes)","03418","03418 - Other fish, fresh or chilled (excluding livers and roes)","0341","1","5",
"03419","Fish livers and roes, fresh or chilled","03419","03419 - Fish livers and roes, fresh or chilled","0341","1","5",
"0341X","Memorandum Item","0341X","0341X - Memorandum Item","0341","1","5",
"0342","Fish, frozen (exeluding fillets)","0342","0342 - Fish, frozen (exeluding fillets)","034","1","4",
"03421","Salmonidae, frozen (excluding livers and roes)","03421","03421 - Salmonidae, frozen (excluding livers and roes)","0342","1","5",
"03422","Flat-fish, frozen (excluding livers and roes)","03422","03422 - Flat-fish, frozen (excluding livers and roes)","0342","1","5",
"03423","Tunas, skipjack or stripe-bellied bonito, frozen (excluding livers and roes)","03423","03423 - Tunas, skipjack or stripe-bellied bonito, frozen (excluding livers and roes)","0342","1","5",
"03424","Herrings, sardines, sardinella, brislings or sprats, frozen (excluding livers and roes)","03424","03424 - Herrings, sardines, sardinella, brislings or sprats, frozen (excluding livers and roes)","0342","1","5",
"03425","Cod, frozen (excluding livers and roes)","03425","03425 - Cod, frozen (excluding livers and roes)","0342","1","5",
"03426","Mackerel (scombrids), frozen (excluding livers and roes)","03426","03426 - Mackerel (scombrids), frozen (excluding livers and roes)","0342","1","5",
"03427","Hake, frozen (excluding livers and roes)","03427","03427 - Hake, frozen (excluding livers and roes)","0342","1","5",
"03428","Other fish, frozen (excluding livers and roes)","03428","03428 - Other fish, frozen (excluding livers and roes)","0342","1","5",
"03429","Fish livers and roes, frozen","03429","03429 - Fish livers and roes, frozen","0342","1","5",
"0342X","Memorandum Item","0342X","0342X - Memorandum Item","0342","1","5",
"0343","Fish fillets, fresh or chilled","0343","0343 - Fish fillets, fresh or chilled","034","1","4",
"0344","Fish fillets, frozen","0344","0344 - Fish fillets, frozen","034","1","4",
"0345","Fish fillets, fresh or chilled, and other fish meat (whether or not minced), fresh, chilled or frozen","0345","0345 - Fish fillets, fresh or chilled, and other fish meat (whether or not minced), fresh, chilled or frozen","034","0","4",
"03451","Fish fillets and other fish meat, fresh or chilled","03451","03451 - Fish fillets and other fish meat, fresh or chilled","0345","1","5",
"03455","Fish meat (other than fillets), frozen","03455","03455 - Fish meat (other than fillets), frozen","0345","1","5",
"0345X","Memorandum Item","0345X","0345X - Memorandum Item","0345","1","5",
"034X","Memorandum Item","034X","034X - Memorandum Item","034","0","4",
"034XX","Memorandum Item","034XX","034XX - Memorandum Item","034X","1","5",
"035","Fish, dried, salted or in brine; smoked fish (whether or not cooked before or during the smoking process)","035","035 - Fish, dried, salted or in brine; smoked fish (whether or not cooked before or during the smoking process)","03","0","3",
"0350","Fish, dried, salted or in brine; smoked fish (whether or not cooked before or during the smoking process)","0350","0350 - Fish, dried, salted or in brine; smoked fish (whether or not cooked before or during the smoking process)","035","0","4",
"03501","Fish meal fit for human consumption","03501","03501 - Fish meal fit for human consumption","0350","1","5",
"03502","Cod (not in fillets) dried, whether or not salted","03502","03502 - Cod (not in fillets) dried, whether or not salted","0350","1","5",
"03503","Fish, dried, salted or in brine (other than cod of heading 035.02)","03503","03503 - Fish, dried, salted or in brine (other than cod of heading 035.02)","0350","1","5",
"03504","Fish smoked (whether or not cooked before or during the smoking process)","03504","03504 - Fish smoked (whether or not cooked before or during the smoking process)","0350","1","5",
"0350X","Memorandum Item","0350X","0350X - Memorandum Item","0350","1","5",
"0351","Fish, dried, salted or in brine, but not smoked","0351","0351 - Fish, dried, salted or in brine, but not smoked","035","0","4",
"03511","Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus), not in fillets, dried, whether or not salted","03511","03511 - Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus), not in fillets, dried, whether or not salted","0351","1","5",
"03512","Fish fillets, dried, salted or in brine","03512","03512 - Fish fillets, dried, salted or in brine","0351","1","5",
"03513","Fish, dried, whether or not salted, n.e.s.","03513","03513 - Fish, dried, whether or not salted, n.e.s.","0351","1","5",
"0351X","Memorandum Item","0351X","0351X - Memorandum Item","0351","1","5",
"0352","Fish, salted but not dried or smoked and fish in brine","0352","0352 - Fish, salted but not dried or smoked and fish in brine","035","0","4",
"03521","Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)","03521","03521 - Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)","0352","1","5",
"03522","Anchovies","03522","03522 - Anchovies","0352","1","5",
"03529","Other fish","03529","03529 - Other fish","0352","1","5",
"0352X","Memorandum Item","0352X","0352X - Memorandum Item","0352","1","5",
"0353","Fish (including fillets), smoked, whether or not cooked before or during the smoking process","0353","0353 - Fish (including fillets), smoked, whether or not cooked before or during the smoking process","035","1","4",
"0354","Fish liver and roes, dried, smoked, salted or in brine","0354","0354 - Fish liver and roes, dried, smoked, salted or in brine","035","1","4",
"0355","Flours, meals and pellets of fish, fit for human consumption","0355","0355 - Flours, meals and pellets of fish, fit for human consumption","035","1","4",
"035X","Memorandum Item","035X","035X - Memorandum Item","035","0","4",
"035XX","Memorandum Item","035XX","035XX - Memorandum Item","035X","1","5",
"036","Crustaceans and molluscs, whether in shell or not, fresh (live or dead), chilled, frozen, salted, in brine or dried; crustaceans, in shell, simply boiled in water","036","036 - Crustaceans and molluscs, whether in shell or not, fresh (live or dead), chilled, frozen, salted, in brine or dried; crustaceans, in shell, simply boiled in water","03","0","3",
"0360","Crustaceans and molluscs, whether in shell or not, fresh (live or dead), chilled, frozen, salted, in brine or dried; crustaceans, in shell, simply boiled in water","0360","0360 - Crustaceans and molluscs, whether in shell or not, fresh (live or dead), chilled, frozen, salted, in brine or dried; crustaceans, in shell, simply boiled in water","036","1","4",
"0361","Crustaceans, frozen","0361","0361 - Crustaceans, frozen","036","0","4",
"03611","Shrimps and prawns, frozen","03611","03611 - Shrimps and prawns, frozen","0361","1","5",
"03619","Other crustaceans, frozen, including flours, meals and pellets of crustaceans, fit for human consumption","03619","03619 - Other crustaceans, frozen, including flours, meals and pellets of crustaceans, fit for human consumption","0361","1","5",
"0361X","Memorandum Item","0361X","0361X - Memorandum Item","0361","1","5",
