id,text,parent,isLeaf,aggrlevel
"TOTAL","Total - All S4 Commodities","#","0","0",
"0","0 - Food and live animals","TOTAL","0","1",
"00","00 - Live animals other than animals of division 03","0","0","2",
"001","001 - Live animals other than animals of division 03","00","0","3",
"0011","0011 - Bovine animals, live","001","0","4",
"00111","00111 - Pure-bred breeding animals","0011","1","5",
"00119","00119 - Other than pure-bred breeding animals","0011","1","5",
"0011X","0011X - Memorandum Item","0011","1","5",
"0012","0012 - Sheep and goats, live","001","0","4",
"00121","00121 - Sheep, live","0012","1","5",
"00122","00122 - Goats, live","0012","1","5",
"0012X","0012X - Memorandum Item","0012","1","5",
"0013","0013 - Swine, live","001","0","4",
"00131","00131 - Pure-bred breeding animals","0013","1","5",
"00139","00139 - Other than pure-bred breeding animals","0013","1","5",
"0013X","0013X - Memorandum Item","0013","1","5",
"0014","0014 - Poultry, live (i.e., fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea-fowls)","001","0","4",
"00141","00141 - Poultry, live (i.e., fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea-fowls, weighing not more than 185 g","0014","1","5",
"00149","00149 - Other","0014","1","5",
"0014X","0014X - Memorandum Item","0014","1","5",
"0015","0015 - Horses, asses, mules and hinnies, live","001","1","4",
"0019","0019 - Live animals, n.e.s.","001","1","4",
"001X","001X - Memorandum Item","001","0","4",
"001XX","001XX - Memorandum Item","001X","1","5",
"00X","00X - Memorandum Item","00","0","3",
"00XX","00XX - Memorandum Item","00X","0","4",
"00XXX","00XXX - Memorandum Item","00XX","1","5",
"01","01 - Meat and meat preparations","0","0","2",
"011","011 - Meat of bovine animals, fresh, chilled or frozen","01","0","3",
"0111","0111 - Meat of bovine animals, fresh or chilled","011","0","4",
"01111","01111 - Meat of bovine animals, fresh or chilled, with bone in","0111","1","5",
"01112","01112 - Meat of bovine animals, fresh or chilled, boneless","0111","1","5",
"0111X","0111X - Memorandum Item","0111","1","5",
"0112","0112 - Meat of bovine animals, frozen","011","0","4",
"01121","01121 - Meat of bovine animals, frozen, with bone in","0112","1","5",
"01122","01122 - Meat of bovine animals, frozen, boneless","0112","1","5",
"0112X","0112X - Memorandum Item","0112","1","5",
"011X","011X - Memorandum Item","011","0","4",
"011XX","011XX - Memorandum Item","011X","1","5",
"012","012 - Other meat and edible meat offal, fresh, chilled or frozen (except meat and meat offal unfit or unsuitable for human consumption)","01","0","3",
"0121","0121 - Meat of sheep or goats, fresh, chilled or frozen","012","0","4",
"01211","01211 - Meat of sheep, fresh or chilled","0121","1","5",
"01212","01212 - Meat of sheep, frozen","0121","1","5",
"01213","01213 - Meat of goats, fresh, chilled or frozen","0121","1","5",
"0121X","0121X - Memorandum Item","0121","1","5",
"0122","0122 - Meat of swine, fresh, chilled or frozen","012","0","4",
"01221","01221 - ....fresh or chilled","0122","1","5",
"01222","01222 - ....frozen","0122","1","5",
"0122X","0122X - Memorandum Item","0122","1","5",
"0123","0123 - Meat and edible offal of the poultry of subgroup 001.4, fresh, chilled or frozen","012","0","4",
