id,text,parent,isLeaf,aggrlevel
"TOTAL","Total - All S1 Commodities","#","0","0",
"0","0 - Food and live animals","TOTAL","0","1",
"00","00 - Live animals","0","0","2",
"001","001 - Live animals","00","0","3",
"0011","0011 - Bovine cattle including buffaloes","001","1","4",
"0012","0012 - Sheep,lambs and goats","001","1","4",
"0013","0013 - Swine","001","1","4",
"0014","0014 - Poultry,live","001","0","4",
"00141","00141 - Baby chicks inc.other poultry < 4 days","0014","1","5",
"00142","00142 - Other poultry","0014","1","5",
"0014X","0014X - Memorandum Item","0014","1","5",
"0015","0015 - Horses,asses,mules and hinnies","001","1","4",
"0019","0019 - Live animals chiefly for food ,n.e.s.","001","1","4",
"001X","001X - Memorandum Item","001","0","4",
"001XX","001XX - Memorandum Item","001X","1","5",
"00X","00X - Memorandum Item","00","0","3",
"00XX","00XX - Memorandum Item","00X","0","4",
"00XXX","00XXX - Memorandum Item","00XX","1","5",
"01","01 - Meat and meat preparations","0","0","2",
"011","011 - Meat, fresh, chilled or frozen","01","0","3",
"0111","0111 - Meat of bovine animals,fresh,chilled or frozen","011","1","4",
"0112","0112 - Meat of sheep & goats, fresh, chilled or frozen","011","1","4",
"0113","0113 - Meat of swine,fresh,chilled or frozen","011","1","4",
"0114","0114 - Poultry,incl.offals ex.liver fresh,chilled,froz","011","1","4",
"0115","0115 - Meat of horses,asses,mules & hinnies,fr.ch.fro.","011","1","4",
"0116","0116 - Edible offals of animals,fresh,chilled,frozen","011","1","4",
"0118","0118 - Other fresh,chilled,frozen meat & edible offals","011","0","4",
"01181","01181 - Poultry liver,fresh,chilled,frozen salted","0118","1","5",
"01189","01189 - Meat & edible offals,n.e.s.","0118","1","5",
"0118X","0118X - Memorandum Item","0118","1","5",
"011X","011X - Memorandum Item","011","0","4",
"011XX","011XX - Memorandum Item","011X","1","5",
"012","012 - Meat, dried, salted or smoked","01","0","3",
"0121","0121 - Bacon,ham & other dried,salted,smoked pig meat","012","1","4",
"0129","0129 - Meat & edible offals,nes. Dried,salted,smoked","012","1","4",
"012X","012X - Memorandum Item","012","0","4",
"012XX","012XX - Memorandum Item","012X","1","5",
"013","013 - Meat in airtight containers nes & meat preptns","01","0","3",
"0133","0133 - Meat extracts & meat juices","013","1","4",
"0134","0134 - Sausages,whether or not in airtight containers","013","0","4",
"01341","01341 - Sausages in airtight containers","0134","1","5",
"01342","01342 - Sausages not in airtight containers","0134","1","5",
"0134X","0134X - Memorandum Item","0134","1","5",
"0138","0138 - Other prepared or preserved meat","013","0","4",
"01381","01381 - Other meat in airtight containers","0138","1","5",
"01382","01382 - Other meat not in airtight containers","0138","1","5",
"0138X","0138X - Memorandum Item","0138","1","5",
"013X","013X - Memorandum Item","013","0","4",
"013XX","013XX - Memorandum Item","013X","1","5",
"01X","01X - Memorandum Item","01","0","3",
"01XX","01XX - Memorandum Item","01X","0","4",
"01XXX","01XXX - Memorandum Item","01XX","1","5",
"02","02 - Dairy products and eggs","0","0","2",
"022","022 - Milk and cream","02","0","3",
"0221","0221 - Milk & cream evaporated or condensed","022","1","4",
"0222","0222 - Milk & cream in solid form,blocks or powder","022","0","4",
"02221","02221 - Whole milk and cream","0222","1","5",
"02222","02222 - Skimmed milk","0222","1","5",
"0222X","0222X - Memorandum Item","0222","1","5",
"0223","0223 - Milk & cream fresh","022","1","4",
"022X","022X - Memorandum Item","022","0","4",
"022XX","022XX - Memorandum Item","022X","1","5",
"023","023 - Butter","02","0","3",
"0230","0230 - Butter","023","1","4",
"023X","023X - Memorandum Item","023","0","4",
"023XX","023XX - Memorandum Item","023X","1","5",
"024","024 - Cheese and curd","02","0","3",
"0240","0240 - Cheese and curd","024","1","4",
"024X","024X - Memorandum Item","024","0","4",
"024XX","024XX - Memorandum Item","024X","1","5",
"025","025 - Eggs","02","0","3",
"0250","0250 - Eggs","025","0","4",
"02501","02501 - Eggs in the shell","0250","1","5",
"02502","02502 - Eggs not in the shell","0250","1","5",
"0250X","0250X - Memorandum Item","0250","1","5",
"025X","025X - Memorandum Item","025","0","4",
"025XX","025XX - Memorandum Item","025X","1","5",
"02X","02X - Memorandum Item","02","0","3",
"02XX","02XX - Memorandum Item","02X","0","4",
"02XXX","02XXX - Memorandum Item","02XX","1","5",
"03","03 - Fish and fish preparations","0","0","2",
"031","031 - Fish,fresh & simply preserved","03","0","3",
"0311","0311 - Fish, fresh, chilled or frozen","031","0","4",
"03111","03111 - Herring,fresh or chilled","0311","1","5",
"03112","03112 - Fish fillets,fresh or chilled","0311","1","5",
"03113","03113 - Other fish,fresh or chilled","0311","1","5",
"03114","03114 - Herring,frozen","0311","1","5",
"03115","03115 - Fish fillets,frozen","0311","1","5",
"03116","03116 - Other fish,frozen","0311","1","5",
"0311X","0311X - Memorandum Item","0311","1","5",
"0312","0312 - Fish, salted, dried or smoked","031","0","4",
"03121","03121 - Stock fish,dried unsalted","0312","1","5",
"03122","03122 - Cod,hake,haddock etc,salted","0312","1","5",
"03123","03123 - Herring,dried or salted","0312","1","5",
"03124","03124 - Sardines,anchovies,etc.dried/salted","0312","1","5",
"03125","03125 - Other fish,dried or salted","0312","1","5",
"03126","03126 - Herring,smoked or smoked frozen","0312","1","5",
"03127","03127 - Other fish,smoked or smoked frozen","0312","1","5",
"0312X","0312X - Memorandum Item","0312","1","5",
"0313","0313 - Crustacea & molluscs,fresh,chilled,salted,dried","031","1","4",
"031X","031X - Memorandum Item","031","0","4",
"031XX","031XX - Memorandum Item","031X","1","5",
"032","032 - Fish,in airtight containers,nes & fish preptns.","03","0","3",
"0320","0320 - Fish,in airtight containers","032","0","4",
"03201","03201 - Prepared or preserved fish incl.caviar","0320","1","5",
"03202","03202 - Crustacea & molluscs,prepared or preserved","0320","1","5",
"0320X","0320X - Memorandum Item","0320","1","5",
"032X","032X - Memorandum Item","032","0","4",
"032XX","032XX - Memorandum Item","032X","1","5",
"03X","03X - Memorandum Item","03","0","3",
"03XX","03XX - Memorandum Item","03X","0","4",
"03XXX","03XXX - Memorandum Item","03XX","1","5",
"04","04 - Cereals and cereal preparations","0","0","2",
"041","041 - Wheat  including spelt   and meslin, unmilled","04","0","3",
"0410","0410 - Wheat and meslin,unmilled","041","1","4",
